"","A","S","E","O","R","T"
"3390","old","F","high","emp","small","train"
"3391","young","F","high","emp","big","car"
"3392","adult","M","high","emp","small","train"
"3393","adult","F","uni","emp","big","other"
"3394","young","F","high","emp","small","car"
"3395","adult","M","uni","emp","big","train"
"3396","young","M","high","emp","big","other"
"3397","adult","M","high","emp","big","other"
"3398","young","M","high","emp","small","car"
"3399","young","F","high","emp","big","car"
"3400","young","F","high","emp","big","other"
"3401","adult","M","high","emp","big","other"
"3402","old","M","high","emp","big","car"
"3403","adult","M","high","emp","big","other"
"3404","adult","M","high","emp","small","train"
"3405","young","M","high","emp","big","car"
"3406","adult","M","high","emp","small","car"
"3407","old","M","uni","emp","big","car"
"3408","old","M","high","emp","big","car"
"3409","adult","F","high","emp","big","car"
"3410","adult","M","high","emp","big","car"
"3411","young","F","uni","emp","big","car"
"3412","adult","F","uni","emp","big","car"
"3413","adult","M","high","emp","big","car"
"3414","adult","F","high","emp","big","car"
"3415","adult","F","uni","emp","big","car"
"3416","adult","M","high","emp","big","train"
"3417","adult","F","high","emp","big","other"
"3418","adult","M","high","emp","big","train"
"3419","adult","M","high","emp","big","train"
"3420","adult","F","high","emp","big","train"
"3421","young","M","high","emp","big","car"
"3422","old","M","high","emp","big","car"
"3423","young","F","high","emp","big","car"
"3424","old","M","high","emp","small","car"
"3425","old","F","high","emp","small","train"
"3426","young","M","high","emp","big","other"
"3427","adult","F","high","emp","big","car"
"3428","adult","M","high","emp","big","car"
"3429","adult","M","high","emp","big","car"
"3430","adult","F","high","emp","big","car"
"3431","young","M","high","emp","big","car"
"3432","adult","M","high","emp","big","car"
"3433","adult","M","high","emp","big","other"
"3434","adult","F","uni","emp","small","train"
"3435","old","M","high","emp","big","car"
"3436","young","M","high","emp","big","train"
"3437","adult","F","uni","emp","big","car"
"3438","young","F","high","emp","big","train"
"3439","old","M","high","emp","big","car"
"3440","young","M","uni","emp","small","other"
"3441","adult","F","uni","emp","big","train"
"3442","adult","M","high","emp","big","car"
"3443","young","F","uni","emp","big","train"
"3444","young","M","uni","emp","big","car"
"3445","adult","M","high","emp","big","car"
"3446","young","F","uni","emp","small","car"
"3447","adult","M","high","emp","big","train"
"3448","adult","M","high","emp","small","train"
"3449","adult","F","high","emp","big","other"
"3450","young","M","high","emp","big","car"
"3451","adult","M","high","emp","big","car"
"3452","old","F","high","emp","small","car"
"3453","adult","F","high","emp","big","train"
"3454","adult","M","high","emp","big","train"
"3455","adult","F","high","emp","big","car"
"3456","adult","F","uni","emp","big","other"
"3457","adult","F","uni","emp","big","car"
"3458","young","F","high","emp","small","train"
"3459","adult","M","high","emp","big","car"
"3460","old","M","high","emp","small","car"
"3461","young","M","high","emp","big","train"
"3462","adult","M","high","emp","big","car"
"3463","young","F","high","emp","small","train"
"3464","adult","M","high","self","big","car"
"3465","young","F","high","emp","big","car"
"3466","young","M","uni","emp","big","other"
"3467","adult","M","uni","emp","big","car"
"3468","adult","F","uni","emp","big","car"
"3469","adult","M","high","emp","big","train"
"3470","adult","M","uni","emp","big","car"
"3471","young","M","uni","self","small","car"
"3472","adult","M","high","emp","big","car"
"3473","adult","M","high","emp","small","train"
"3474","young","M","uni","emp","big","car"
"3475","adult","M","high","emp","big","car"
"3476","young","F","high","emp","small","train"
"3477","young","M","high","emp","small","other"
"3478","adult","M","high","emp","big","car"
"3479","adult","M","high","emp","big","car"
"3480","adult","F","high","emp","big","car"
"3481","old","F","high","emp","big","car"
"3482","young","F","uni","emp","big","car"
"3483","adult","M","high","emp","big","car"
"3484","adult","M","uni","emp","big","car"
"3485","adult","M","high","emp","small","car"
"3486","old","M","high","emp","small","other"
"3487","adult","F","high","emp","small","other"
"3488","old","M","high","emp","big","other"
"3489","adult","F","uni","emp","big","train"
"3490","young","M","uni","emp","big","car"
"3491","young","M","uni","emp","big","car"
"3492","adult","M","uni","self","big","train"
"3493","old","M","high","emp","big","train"
"3494","adult","F","high","emp","small","train"
"3495","adult","F","high","emp","big","car"
"3496","old","F","high","emp","big","car"
"3497","adult","M","high","emp","small","train"
"3498","adult","F","high","emp","big","car"
"3499","adult","F","high","emp","big","car"
"3500","adult","F","high","self","big","car"
"3501","adult","M","uni","emp","big","train"
"3502","adult","M","uni","emp","big","car"
"3503","young","M","high","emp","big","other"
"3504","adult","M","high","self","big","car"
"3505","young","M","high","emp","big","car"
"3506","old","M","high","emp","big","car"
"3507","old","M","high","emp","big","train"
"3508","adult","M","high","emp","small","car"
"3509","adult","F","high","emp","big","car"
"3510","old","F","high","emp","big","train"
"3511","young","M","high","emp","big","car"
"3512","adult","M","high","emp","big","other"
"3513","adult","M","high","emp","big","train"
"3514","adult","M","uni","emp","big","car"
"3515","adult","M","high","emp","big","car"
"3516","adult","M","high","emp","big","car"
"3517","adult","M","uni","emp","big","car"
"3518","young","M","high","self","big","car"
"3519","adult","M","high","emp","small","other"
"3520","adult","M","high","emp","big","car"
"3521","adult","M","uni","emp","small","train"
"3522","young","M","high","emp","big","other"
"3523","young","F","high","emp","big","car"
"3524","adult","F","high","emp","big","other"
"3525","adult","M","high","emp","big","train"
"3526","old","M","high","emp","big","train"
"3527","adult","F","high","emp","small","car"
"3528","adult","M","high","emp","big","train"
"3529","young","M","high","emp","big","other"
"3530","young","M","high","self","big","train"
"3531","adult","M","uni","emp","big","car"
"3532","adult","F","high","emp","big","train"
"3533","old","M","high","emp","small","car"
"3534","young","F","high","emp","small","train"
"3535","old","F","high","emp","big","other"
"3536","adult","F","high","emp","big","train"
"3537","adult","M","high","emp","big","other"
"3538","adult","F","high","emp","big","car"
"3539","adult","M","uni","emp","big","train"
"3540","adult","M","high","emp","big","car"
"3541","young","M","uni","emp","big","car"
"3542","old","F","high","emp","big","car"
"3543","adult","M","high","emp","big","car"
"3544","young","F","high","self","big","other"
"3545","old","F","high","emp","big","car"
"3546","old","M","high","emp","big","car"
"3547","adult","M","high","emp","big","car"
"3548","adult","F","high","emp","big","other"
"3549","adult","M","high","emp","big","car"
"3550","young","F","high","emp","big","car"
"3551","adult","M","high","emp","big","car"
"3552","adult","M","high","emp","big","other"
"3553","adult","M","high","emp","big","car"
"3554","adult","M","high","emp","small","car"
"3555","adult","M","high","emp","big","car"
"3556","adult","M","uni","emp","big","train"
"3557","young","M","uni","emp","big","car"
"3558","old","F","high","self","big","other"
"3559","adult","M","uni","emp","big","train"
"3560","adult","M","high","emp","big","car"
"3561","adult","M","high","emp","small","car"
"3562","adult","M","high","emp","big","car"
"3563","adult","F","uni","emp","big","car"
"3564","adult","M","uni","self","big","car"
"3565","adult","M","high","emp","big","car"
"3566","young","F","uni","emp","big","train"
"3567","adult","M","high","emp","big","car"
"3568","adult","M","high","emp","big","car"
"3569","young","M","high","self","small","car"
"3570","adult","F","uni","emp","small","car"
"3571","old","M","high","emp","big","car"
"3572","old","M","high","self","big","car"
"3573","old","M","high","emp","big","other"
"3574","adult","M","uni","emp","big","other"
"3575","young","M","uni","emp","big","car"
"3576","adult","F","high","emp","big","car"
"3577","adult","M","high","emp","small","car"
"3578","adult","M","high","emp","big","train"
"3579","adult","M","high","emp","big","other"
"3580","young","M","high","self","big","car"
"3581","adult","M","high","emp","big","train"
"3582","old","M","high","emp","big","car"
"3583","young","F","high","emp","big","other"
"3584","young","F","high","emp","big","car"
"3585","old","M","high","emp","big","other"
"3586","young","F","uni","emp","big","car"
"3587","adult","M","high","emp","big","train"
"3588","old","F","high","emp","big","train"
"3589","young","F","high","emp","small","train"
"3590","adult","M","high","emp","big","car"
"3591","adult","F","high","emp","big","train"
"3592","adult","F","high","emp","big","car"
"3593","adult","F","high","emp","big","car"
"3594","adult","F","high","emp","small","car"
"3595","young","F","high","emp","big","car"
"3596","old","M","high","emp","big","train"
"3597","old","F","high","emp","big","other"
"3598","young","F","high","emp","big","car"
"3599","adult","M","uni","emp","big","car"
"3600","adult","F","uni","emp","small","train"
"3601","adult","M","high","emp","small","car"
"3602","adult","M","high","emp","small","other"
"3603","old","F","high","emp","big","other"
"3604","adult","M","uni","emp","big","other"
"3605","young","M","high","emp","big","train"
"3606","young","F","high","emp","small","car"
"3607","adult","F","high","self","small","car"
"3608","adult","M","high","emp","small","car"
"3609","old","M","high","emp","big","train"
"3610","old","M","high","emp","big","train"
"3611","young","M","high","emp","small","train"
"3612","adult","F","uni","emp","big","car"
"3613","adult","F","high","emp","big","train"
"3614","old","F","high","self","big","car"
"3615","young","M","high","emp","small","other"
"3616","young","M","high","emp","big","car"
"3617","adult","F","uni","emp","big","other"
"3618","old","M","high","emp","big","train"
"3619","adult","M","uni","emp","small","car"
"3620","young","M","high","emp","big","train"
"3621","old","M","high","emp","small","train"
"3622","adult","F","high","emp","big","train"
"3623","young","M","high","emp","small","car"
"3624","adult","F","high","emp","big","train"
"3625","adult","M","high","emp","small","car"
